read_id	exon_left	exon_left_len	exon_left_start_pos_align	exon_left_end_pos_align	exon_left_read_end_pos_align	exon_right	exon_right_len	exon_right_start_pos_align	exon_right_end_pos_align	read_count	exon_comb_short_rc	exon_right_read_start_pos_align	exon_comb_type	exon_left_miss	exon_right_miss	exon_join	exon_order	gap	exon_exon_gap_corrected
read_00128	17	147	62	147	397	18	102	1	102	1	1-3,17-18	398	1	0	0	17-18	4	0	0
read_00129	1	57	1	54	54	2	168	2	168	1	1-3,17-18	59	1	3	1	1-2	1	4	4
read_00129	2	168	2	168	225	3	130	1	89	1	1-3,17-18	226	1	0	0	2-3	2	0	0
read_00129	3	130	1	89	314	17	147	62	147	1	1-3,17-18	312	0	41	61	3-17	3	-3	0
read_00129	17	147	62	147	397	18	102	1	100	1	1-3,17-18	398	1	0	0	17-18	4	0	0
read_00130	1	57	1	57	57	2	168	1	168	1	1-3,16-18	58	1	0	0	1-2	1	0	0
read_00130	2	168	1	168	225	3	130	1	26	1	1-3,16-18	226	1	0	0	2-3	2	0	0
read_00130	3	130	1	26	251	16	101	45	101	1	1-3,16-18	250	0	104	44	3-16	3	-2	0
read_00130	16	101	45	101	306	17	147	1	147	1	1-3,16-18	307	1	0	0	16-17	4	0	0
read_00130	17	147	1	147	453	18	102	1	102	1	1-3,16-18	454	1	0	0	17-18	5	0	0
read_00131	1	57	4	54	51	2	168	2	168	2	1-3,17-18	56	1	3	1	1-2	1	4	4
read_00131	2	168	2	168	222	3	130	1	89	2	1-3,17-18	223	1	0	0	2-3	2	0	0
read_00131	3	130	1	89	311	17	147	62	147	2	1-3,17-18	309	0	41	61	3-17	3	-3	0
read_00131	17	147	62	147	394	18	102	1	99	2	1-3,17-18	395	1	0	0	17-18	4	0	0
read_00132	1	57	1	57	57	2	168	1	79	48	1-2,18	58	1	0	0	1-2	1	0	0
read_00132	2	168	1	79	136	18	102	13	102	48	1-2,18	137	0	89	12	2-18	2	0	0
read_00133	1	57	4	57	54	2	168	2	168	3	1-3,17-18	56	1	0	1	1-2	1	1	1
read_00133	2	168	2	168	222	3	130	1	89	3	1-3,17-18	223	1	0	0	2-3	2	0	0
read_00133	3	130	1	89	311	17	147	62	147	3	1-3,17-18	309	0	41	61	3-17	3	-3	0
read_00133	17	147	62	147	394	18	102	1	99	3	1-3,17-18	395	1	0	0	17-18	4	0	0
read_00134	1	57	1	57	57	17	147	38	147	1	1,17-18	63	0	0	37	1-17	1	5	5
read_00134	17	147	38	147	172	18	102	1	94	1	1,17-18	173	1	0	0	17-18	2	0	0
read_00135	1	57	1	57	57	2	168	1	168	5	1-3,16-18	58	1	0	0	1-2	1	0	0
read_00135	2	168	1	168	225	3	130	1	26	5	1-3,16-18	226	1	0	0	2-3	2	0	0
read_00135	3	130	1	26	251	16	101	45	101	5	1-3,16-18	250	0	104	44	3-16	3	-2	0
read_00135	16	101	45	101	306	17	147	1	147	5	1-3,16-18	307	1	0	0	16-17	4	0	0
read_00135	17	147	1	147	453	18	102	1	97	5	1-3,16-18	454	1	0	0	17-18	5	0	0
read_00136	1	57	1	57	57	17	147	38	147	14	1,17-18	63	0	0	37	1-17	1	5	5
read_00136	17	147	38	147	172	18	102	1	99	14	1,17-18	173	1	0	0	17-18	2	0	0
read_00137	1	57	1	57	57	1	57	1	57	1	1-3,17-18,1-3,17-18	500	0	0	0	1-1	1	442	442
read_00137	1	57	1	57	556	2	168	2	168	1	1-3,17-18,1-3,17-18	59	1	0	1	1-2	2	-498	0
read_00137	2	168	2	168	225	2	168	2	168	1	1-3,17-18,1-3,17-18	558	0	0	1	2-2	3	332	332
read_00137	2	168	2	168	724	3	130	1	89	1	1-3,17-18,1-3,17-18	226	1	0	0	2-3	4	-499	0
read_00137	3	130	1	89	314	3	130	1	89	1	1-3,17-18,1-3,17-18	725	0	41	0	3-3	5	410	410
read_00137	3	130	1	89	813	17	147	62	147	1	1-3,17-18,1-3,17-18	312	0	41	61	3-17	6	-502	0
read_00137	17	147	62	147	397	17	147	62	147	1	1-3,17-18,1-3,17-18	811	0	0	61	17-17	7	413	413
read_00137	17	147	62	147	896	18	102	1	102	1	1-3,17-18,1-3,17-18	398	1	0	0	17-18	8	-499	0
read_00137	18	102	1	102	499	18	102	1	102	1	1-3,17-18,1-3,17-18	897	0	0	0	18-18	9	397	397
read_00138	1	57	1	57	57	2	168	1	168	1	1-2,16-18	58	1	0	0	1-2	1	0	0
read_00138	2	168	1	168	225	16	101	45	101	1	1-2,16-18	250	0	0	44	2-16	2	24	24
read_00138	16	101	45	101	306	17	147	1	147	1	1-2,16-18	307	1	0	0	16-17	3	0	0
read_00138	17	147	1	147	453	18	102	1	102	1	1-2,16-18	454	1	0	0	17-18	4	0	0
read_00139	1	57	1	57	56	2	168	1	168	1	1-3,16-18	57	1	0	0	1-2	1	0	0
read_00139	2	168	1	168	224	3	130	1	26	1	1-3,16-18	225	1	0	0	2-3	2	0	0
read_00139	3	130	1	26	250	16	101	45	101	1	1-3,16-18	249	0	104	44	3-16	3	-2	0
read_00139	16	101	45	101	305	17	147	1	147	1	1-3,16-18	306	1	0	0	16-17	4	0	0
read_00139	17	147	1	147	452	18	102	1	99	1	1-3,16-18	453	1	0	0	17-18	5	0	0
read_00140	1	57	1	57	57	2	168	1	168	1	1-3,17-18	58	1	0	0	1-2	1	0	0
read_00140	2	168	1	168	225	3	130	1	89	1	1-3,17-18	226	1	0	0	2-3	2	0	0
read_00140	3	130	1	89	314	17	147	62	147	1	1-3,17-18	312	0	41	61	3-17	3	-3	0
read_00140	17	147	62	147	397	18	102	1	102	1	1-3,17-18	398	1	0	0	17-18	4	0	0
read_00141	1	57	1	57	57	2	168	2	168	1	1-3,17-18	59	1	0	1	1-2	1	1	1
read_00141	2	168	2	168	225	3	130	1	89	1	1-3,17-18	226	1	0	0	2-3	2	0	0
read_00141	3	130	1	89	315	17	147	62	147	1	1-3,17-18	313	0	41	61	3-17	3	-3	0
read_00141	17	147	62	147	399	18	102	1	98	1	1-3,17-18	400	1	0	0	17-18	4	0	0
read_00142	1	57	1	57	57	2	168	1	168	2	1-3,16-18	58	1	0	0	1-2	1	0	0
read_00142	2	168	1	168	225	3	130	1	26	2	1-3,16-18	226	1	0	0	2-3	2	0	0
read_00142	3	130	1	26	251	16	101	45	101	2	1-3,16-18	250	0	104	44	3-16	3	-2	0
read_00142	16	101	45	101	306	17	147	1	147	2	1-3,16-18	307	1	0	0	16-17	4	0	0
read_00142	17	147	1	147	453	18	102	1	92	2	1-3,16-18	454	1	0	0	17-18	5	0	0
read_00143	1	57	1	57	57	17	147	38	147	1	1,17-18	63	0	0	37	1-17	1	5	5
read_00143	17	147	38	147	172	18	102	1	102	1	1,17-18	173	1	0	0	17-18	2	0	0
read_00144	1	57	1	57	57	2	168	2	168	1	1-3,17-18	59	1	0	1	1-2	1	1	1
read_00144	2	168	2	168	225	3	130	1	89	1	1-3,17-18	226	1	0	0	2-3	2	0	0
read_00144	3	130	1	89	314	17	147	62	147	1	1-3,17-18	312	0	41	61	3-17	3	-3	0
read_00144	17	147	62	147	397	18	102	1	99	1	1-3,17-18	398	1	0	0	17-18	4	0	0
read_00145	1	57	1	57	57	2	168	1	168	1	1-3,17-18	58	1	0	0	1-2	1	0	0
read_00145	2	168	1	168	225	3	130	1	89	1	1-3,17-18	226	1	0	0	2-3	2	0	0
read_00145	3	130	1	89	314	17	147	62	147	1	1-3,17-18	312	0	41	61	3-17	3	-3	0
read_00145	17	147	62	147	397	18	102	1	99	1	1-3,17-18	398	1	0	0	17-18	4	0	0
read_00146	1	57	5	57	53	2	168	1	168	1	1-3,16-18	54	1	0	0	1-2	1	0	0
read_00146	2	168	1	168	221	3	130	1	26	1	1-3,16-18	222	1	0	0	2-3	2	0	0
read_00146	3	130	1	26	247	16	101	45	101	1	1-3,16-18	246	0	104	44	3-16	3	-2	0
read_00146	16	101	45	101	302	17	147	1	147	1	1-3,16-18	303	1	0	0	16-17	4	0	0
read_00146	17	147	1	147	449	18	102	1	97	1	1-3,16-18	450	1	0	0	17-18	5	0	0
read_00147	1	57	2	57	57	2	168	2	168	1	1-3,17-18	59	1	0	1	1-2	1	1	1
read_00147	2	168	2	168	225	3	130	1	89	1	1-3,17-18	226	1	0	0	2-3	2	0	0
read_00147	3	130	1	89	314	17	147	62	147	1	1-3,17-18	312	0	41	61	3-17	3	-3	0
read_00147	17	147	62	147	397	18	102	1	97	1	1-3,17-18	398	1	0	0	17-18	4	0	0
read_00148	1	57	1	57	57	2	168	1	79	1	1-2,18	58	1	0	0	1-2	1	0	0
read_00148	2	168	1	79	136	18	102	13	101	1	1-2,18	137	0	89	12	2-18	2	0	0
read_00149	1	57	3	57	55	2	168	1	168	1	1-3,16-18	56	1	0	0	1-2	1	0	0
read_00149	2	168	1	168	223	3	130	1	26	1	1-3,16-18	224	1	0	0	2-3	2	0	0
read_00149	3	130	1	26	249	16	101	45	101	1	1-3,16-18	248	0	104	44	3-16	3	-2	0
